"params","metrics","method","value"
"phi","Rhat","HMC-Whittle","1.0000"
"sigma[eta]","Rhat","HMC-Whittle","1.0001"
"sigma[epsilon]","Rhat","HMC-Whittle","1.0001"
"phi","Rhat","HMC-exact","1.0001"
"sigma[eta]","Rhat","HMC-exact","1.0006"
"sigma[epsilon]","Rhat","HMC-exact","0.9999"
"phi","ESS","HMC-Whittle","8884.7745"
"sigma[eta]","ESS","HMC-Whittle","7933.6556"
"sigma[epsilon]","ESS","HMC-Whittle","8163.2346"
"phi","ESS","HMC-exact","2452.8033"
"sigma[eta]","ESS","HMC-exact","846.3039"
"sigma[epsilon]","ESS","HMC-exact","697.3547"
